user_id,session_id,event_time,event_type,device_type,traffic_source,region,product_category,order_value
U00001,S00001,2025-01-14 21:47:57,product_view,Desktop,Organic Search,South,Electronics,
U00002,S00002,2025-03-19 00:35:12,product_view,Desktop,Organic Search,North,Electronics,
U00003,S00003,2025-01-01 05:44:27,product_view,Desktop,Paid Search,East,Fashion,
U00004,S00004,2025-01-13 11:54:22,product_view,Mobile,Referral,South,Electronics,
U00005,S00005,2025-02-18 02:35:18,product_view,Desktop,Social,East,Sports,
U00006,S00006,2025-01-06 21:14:49,product_view,Desktop,Email,East,Beauty,
U00006,S00006,2025-01-06 21:20:49,add_to_cart,Desktop,Email,East,Beauty,
U00007,S00007,2025-01-21 11:22:13,product_view,Tablet,Paid Search,East,Beauty,
U00008,S00008,2025-03-10 23:15:10,product_view,Desktop,Social,North,Home,
U00009,S00009,2025-02-11 01:14:52,product_view,Mobile,Referral,West,Electronics,
U00009,S00009,2025-02-11 01:35:52,add_to_cart,Mobile,Referral,West,Electronics,
U00009,S00009,2025-02-11 01:40:52,checkout_start,Mobile,Referral,West,Electronics,
U00009,S00009,2025-02-11 01:59:52,purchase,Mobile,Referral,West,Electronics,265.38
U00010,S00010,2025-02-28 04:16:08,product_view,Mobile,Social,South,Sports,
U00010,S00010,2025-02-28 04:52:08,add_to_cart,Mobile,Social,South,Sports,
U00010,S00010,2025-02-28 05:30:08,checkout_start,Mobile,Social,South,Sports,
U00011,S00011,2025-03-05 02:48:03,product_view,Desktop,Paid Search,Central,Electronics,
U00012,S00012,2025-02-19 12:38:29,product_view,Mobile,Organic Search,West,Home,
U00013,S00013,2025-03-29 17:48:17,product_view,Tablet,Email,North,Beauty,
U00014,S00014,2025-02-03 16:48:11,product_view,Mobile,Paid Search,North,Electronics,
U00015,S00015,2025-01-26 04:23:48,product_view,Mobile,Direct,Central,Home,
U00015,S00015,2025-01-26 05:13:48,add_to_cart,Mobile,Direct,Central,Home,
U00016,S00016,2025-02-16 09:15:03,product_view,Tablet,Direct,East,Electronics,
U00016,S00016,2025-02-16 09:52:03,add_to_cart,Tablet,Direct,East,Electronics,
U00017,S00017,2025-01-17 04:42:30,product_view,Mobile,Direct,North,Beauty,
U00018,S00018,2025-03-11 23:44:12,product_view,Mobile,Direct,West,Sports,
U00019,S00019,2025-02-27 03:15:14,product_view,Mobile,Social,South,Sports,
U00019,S00019,2025-02-27 03:17:14,add_to_cart,Mobile,Social,South,Sports,
U00020,S00020,2025-01-30 02:57:02,product_view,Mobile,Organic Search,North,Home,
U00021,S00021,2025-01-17 23:59:56,product_view,Mobile,Organic Search,West,Electronics,
U00022,S00022,2025-01-13 21:27:22,product_view,Mobile,Social,Central,Electronics,
U00023,S00023,2025-01-13 01:25:46,product_view,Mobile,Social,West,Sports,
U00023,S00023,2025-01-13 02:21:46,add_to_cart,Mobile,Social,West,Sports,
U00023,S00023,2025-01-13 02:34:46,checkout_start,Mobile,Social,West,Sports,
U00023,S00023,2025-01-13 02:49:46,purchase,Mobile,Social,West,Sports,59.25
U00024,S00024,2025-03-12 03:03:41,product_view,Mobile,Direct,Central,Electronics,
U00025,S00025,2025-01-22 13:31:30,product_view,Desktop,Referral,Central,Beauty,
U00025,S00025,2025-01-22 13:57:30,add_to_cart,Desktop,Referral,Central,Beauty,
U00026,S00026,2025-02-28 09:27:44,product_view,Mobile,Organic Search,South,Sports,
U00027,S00027,2025-02-07 06:03:37,product_view,Tablet,Direct,West,Electronics,
U00028,S00028,2025-03-09 05:03:32,product_view,Mobile,Paid Search,North,Fashion,
U00028,S00028,2025-03-09 05:15:32,add_to_cart,Mobile,Paid Search,North,Fashion,
U00028,S00028,2025-03-09 05:20:32,checkout_start,Mobile,Paid Search,North,Fashion,
U00029,S00029,2025-03-18 01:39:05,product_view,Mobile,Organic Search,Central,Electronics,
U00030,S00030,2025-02-10 07:16:25,product_view,Desktop,Direct,Central,Electronics,
U00030,S00030,2025-02-10 07:58:25,add_to_cart,Desktop,Direct,Central,Electronics,
U00030,S00030,2025-02-10 08:19:25,checkout_start,Desktop,Direct,Central,Electronics,
U00031,S00031,2025-01-13 02:34:13,product_view,Tablet,Organic Search,West,Home,
U00032,S00032,2025-02-06 05:28:53,product_view,Mobile,Paid Search,North,Electronics,
U00033,S00033,2025-03-27 17:19:59,product_view,Mobile,Referral,Central,Home,
U00034,S00034,2025-03-12 04:17:18,product_view,Tablet,Organic Search,North,Electronics,
U00035,S00035,2025-03-04 08:57:58,product_view,Desktop,Organic Search,West,Fashion,
U00036,S00036,2025-01-17 20:16:10,product_view,Mobile,Paid Search,South,Electronics,
U00037,S00037,2025-03-30 04:34:02,product_view,Desktop,Paid Search,North,Electronics,
U00038,S00038,2025-01-06 11:13:43,product_view,Desktop,Organic Search,North,Fashion,
U00038,S00038,2025-01-06 11:20:43,add_to_cart,Desktop,Organic Search,North,Fashion,
U00038,S00038,2025-01-06 11:56:43,checkout_start,Desktop,Organic Search,North,Fashion,
U00039,S00039,2025-01-21 05:56:26,product_view,Mobile,Direct,North,Sports,
U00039,S00039,2025-01-21 06:44:26,add_to_cart,Mobile,Direct,North,Sports,
U00040,S00040,2025-02-01 08:10:50,product_view,Desktop,Paid Search,West,Beauty,
U00041,S00041,2025-02-28 11:19:52,product_view,Mobile,Organic Search,East,Electronics,
U00042,S00042,2025-01-09 08:22:41,product_view,Mobile,Organic Search,North,Fashion,
